seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
31871,2025,5025,A.J. Green,NA,SG,25,3,NBA,MIL,73,7,1659,3.9,9.2,0.429,3.4,7.9,0.427,0.6,1.3,0.443,0.5,0.6,0.815,0.4,3.4,3.8,2.3,0.8,0.2,0.9,3.4,11.7
31872,2025,5026,A.J. Lawson,NA,SG,24,3,NBA,TOR,26,2,486,5.9,14.1,0.421,2.4,7.5,0.327,3.5,6.6,0.528,3.2,4.7,0.683,1.5,4.9,6.4,2.3,1,0.4,1.1,3.3,17.5
31873,2025,5210,AJ Johnson,NA,SG,20,1,NBA,TOT,29,11,639,4.6,12,0.385,1.4,5.1,0.267,3.3,6.9,0.472,1.8,2.1,0.865,0.5,2.9,3.3,4.3,0.7,0.2,2,2.8,12.4
31874,2025,5210,AJ Johnson,NA,SG,20,1,NBA,MIL,7,0,44,6.5,15.5,0.421,2.5,4.1,0.6,4.1,11.5,0.357,0.8,1.6,0.5,0,5.7,5.7,5.7,0.8,0,3.3,0,16.4
31875,2025,5210,AJ Johnson,NA,SG,20,1,NBA,WAS,22,11,595,4.5,11.7,0.381,1.3,5.1,0.247,3.2,6.6,0.486,1.9,2.1,0.886,0.5,2.7,3.1,4.2,0.7,0.2,1.9,3,12.1
31876,2025,4219,Aaron Gordon,NA,PF,29,11,NBA,DEN,51,42,1447,6.6,12.4,0.531,1.9,4.3,0.436,4.7,8.1,0.582,3.6,4.5,0.81,2,4.2,6.1,4.1,0.6,0.3,1.8,2,18.6
31877,2025,4582,Aaron Holiday,NA,PG,28,7,NBA,HOU,62,3,792,5.3,12.2,0.437,3.3,8.2,0.398,2,4,0.517,1.5,1.9,0.829,0.6,3,3.5,3.8,0.9,0.5,1.7,2.9,15.5
31878,2025,4805,Aaron Nesmith,NA,SF,25,5,NBA,IND,45,37,1123,6.2,12.1,0.507,2.7,6.3,0.431,3.5,5.9,0.587,2.3,2.6,0.913,1.2,4.5,5.7,1.7,1.1,0.5,1.2,3.7,17.3
31879,2025,4900,Aaron Wiggins,NA,SG,26,4,NBA,OKC,76,26,1744,7.3,15,0.488,2.7,7,0.383,4.6,8,0.578,1.5,1.8,0.831,1.7,4.4,6.1,2.8,1.2,0.4,1.4,2.1,18.9
31880,2025,5109,Adam Flagler,NA,SG,25,2,NBA,OKC,37,0,203,4.4,17,0.26,2.5,12.8,0.194,2,4.3,0.458,0.2,0.4,0.5,1.2,3.5,4.8,2.1,1.4,0.5,0.7,2.7,11.5
31881,2025,5110,Adama Sanogo,NA,C,22,2,NBA,CHI,4,0,21,6.9,12,0.571,0,0,NA,6.9,12,0.571,0,0,NA,8.6,1.7,10.3,1.7,0,0,1.7,1.7,13.7
31882,2025,5211,Adem Bona,NA,C,21,1,NBA,PHI,58,11,905,5.4,7.6,0.703,0,0,0,5.4,7.6,0.707,2.7,4,0.67,3.7,6.1,9.7,1.1,1,2.7,2.4,5,13.4
31883,2025,5212,Ajay Mitchell,NA,SG,22,1,NBA,OKC,36,1,597,5.5,11.1,0.495,1.4,3.6,0.383,4.1,7.5,0.548,1.7,2.1,0.829,1.1,3,4.1,3.9,1.5,0.2,1.7,4.1,14.1
31884,2025,3734,Al Horford,NA,C,38,18,NBA,BOS,60,42,1659,4.2,10,0.423,2.5,6.8,0.363,1.8,3.2,0.551,0.7,0.8,0.895,1.7,6.3,8,2.8,0.8,1.1,1,1.8,11.7
31885,2025,3982,Alec Burks,NA,SG,33,14,NBA,MIA,49,14,863,4.8,11.3,0.424,3.7,8.6,0.425,1.1,2.7,0.422,1.6,2,0.776,0.6,4.5,5.2,2.3,1.2,0.3,1.2,1.5,14.9
31886,2025,4465,Alex Caruso,NA,SG,30,8,NBA,OKC,54,3,1041,4.8,10.9,0.446,2.1,5.9,0.353,2.8,5,0.556,1.5,1.8,0.824,1.3,4.2,5.5,4.7,3,1,1.3,3.5,13.2
